rank,Company,Revenues,Profits
1,General Motors,189058 ,6002 
2,Wal-Mart Stores,166809 ,5377 
3,Exxon Mobil,163881 ,7910 
4,Ford Motor,162558 ,7237 
5,General Electric,111630 ,10717 
6,Intl. Business Machines,87548 ,7712 
7,Citigroup,82005 ,9867 
8,AT&T,62391 ,3428 
9,Altria Group,61751 ,7675 
10,Boeing,57993 ,2309 
11,Bank of America Corp.,51392 ,7882 
12,SBC Communications,49489 ,8159 
13,Hewlett-Packard,48253 ,3491 
14,Kroger,45352 ,956 
15,State Farm Insurance Cos,44637 ,1034 
16,Sears Roebuck,41071 ,1453 
17,American Intl. Group,40656 ,5055 
18,Enron,40112 ,893 
19,TIAA-CREF,39410 ,1024 
20,Compaq Computer,38525 ,569 
21,Home Depot,38434 ,2320 
22,Lucent Technologies,38303 ,4766 
23,Procter & Gamble,38125 ,3763 
24,Albertson's,37478 ,404 
25,MCI WorldCom,37120 ,4013 
26,Fannie Mae,36969 ,3912 
27,Kmart Holding,35925 ,403 
28,Texaco,35690 ,1177 
29,Merrill Lynch,34879 ,2618 
30,Morgan Stanley,33928 ,4791 
31,Chase Manhattan Corp.,33710 ,5446 
32,Target,33702 ,1144 
33,Bell Atlantic,33174 ,4202 
34,Merck,32714 ,5891 
35,ChevronTexaco,32676 ,2070 
36,J.C. Penney,32510 ,336 
37,Motorola,30931 ,817 
38,McKesson,30382 ,85 
39,Intel,29389 ,7314 
40,Safeway,28860 ,971 
41,Ingram Micro,28069 ,183 
42,DuPont,27892 ,7690 
43,Johnson & Johnson,27471 ,4167 
44,Costco Wholesale,27456 ,397 
45,Time Warner,27333 ,1948 
46,United Parcel Service,27052 ,883 
47,Allstate,26959 ,2720 
48,Prudential Financial,26618 ,813 
49,Aetna,26453 ,717 
50,Bank One Corp.,25986 ,3479 
51,Marathon Oil,25610 ,698 
52,Lockheed Martin,25530 ,382 
53,MetLife,25426 ,617 
54,Goldman Sachs Group,25363 ,2708 
55,GTE,25336 ,4033 
56,Dell,25265 ,1666 
57,United Technologies,25242 ,1531 
58,BellSouth,25224 ,3448 
59,Cardinal Health,25034 ,456 
60,ConAgra Foods,24594 ,358 
61,International Paper,24573 ,183 
62,Freddie Mac,24268 ,2223 
63,AutoNation,24207 ,283 
64,Berkshire Hathaway,24028 ,1557 
65,Honeywell Intl.,23735 ,1541 
66,Walt Disney,23402 ,1300 
67,Wachovia Corp.,22084 ,3223 
68,Wells Fargo,21795 ,3747 
69,Duke Energy,21742 ,1507 
70,New York Life Insurance,21679 ,555 
71,American Express,21278 ,2475 
72,Loews,20953 ,363 
73,PG&E Corp.,20820 ,(73)
74,Conoco,20817 ,744 
75,Cigna,20644 ,1774 
76,PepsiCo,20367 ,2050 
77,AMR,20262 ,985 
78,Bristol-Myers Squibb,20222 ,4167 
79,Sara Lee,20012 ,1191 
80,FleetBoston Financial,20000 ,2038 
81,Sprint,19930 ,(935)
82,Raytheon,19841 ,404 
83,Coca-Cola,19805 ,2431 
84,Microsoft,19747 ,7785 
85,Caterpillar,19702 ,946 
86,UnitedHealth Group,19562 ,568 
87,Xerox,19228 ,1424 
88,Lehman Brothers Hldgs.,18989 ,1132 
89,Dow Chemical,18929 ,1331 
90,Aquila,18622 ,161 
91,Electronic Data Systems,18534 ,421 
92,J.P. Morgan,18110 ,2055 
93,CVS,18098 ,635 
94,UAL,18027 ,1235 
95,Walgreen,17839 ,624 
96,Georgia-Pacific,17796 ,716 
97,Federated Dept. Stores,17716 ,795 
98,Sysco,17423 ,362 
99,Supervalu,17421 ,191 
100,Bergen Brunswig,17245 ,71 
